Date,Forecast_Adj_Close
2019-12-31,182.79050757872608
2020-01-01,182.69538330959128
2020-01-02,182.90730869774666
2020-01-03,183.06041993553734
2020-01-04,183.10105208069518
2020-01-05,183.27656044814714
2020-01-06,183.41101998768198
2020-01-07,183.64752811066168
2020-01-08,183.9147415736627
2020-01-09,183.81940769215603
2020-01-10,183.6711710710327
2020-01-11,183.87134749120955
2020-01-12,183.93189927359427
2020-01-13,183.92689191985997
2020-01-14,184.10753296037575
2020-01-15,184.23854411511462
2020-01-16,184.216398187363
2020-01-17,184.44789014054612
2020-01-18,184.53463307051481
2020-01-19,184.73795994761608
2020-01-20,185.04272044057691
2020-01-21,184.9340242500417
2020-01-22,184.83438646281633
2020-01-23,185.01961431912315
2020-01-24,185.07707367822337
2020-01-25,185.06873391572444
2020-01-26,185.25053181149735
2020-01-27,185.38236019888703
2020-01-28,185.36253572372397
2020-01-29,185.59195747574643
