Date,Forecast_Adj_Close
2019-12-31,182.84300726912693
2020-01-01,182.82085014978855
2020-01-02,182.88134398318803
2020-01-03,182.8583250402662
2020-01-04,182.85985540008483
2020-01-05,182.85962279292897
2020-01-06,182.86265164678008
2020-01-07,182.8608116768127
2020-01-08,182.86105020084
2020-01-09,182.8611061799533
2020-01-10,182.86123723351147
2020-01-11,182.86110999457452
2020-01-12,182.86113934010436
2020-01-13,182.8611446822321
2020-01-14,182.86114857110968
2020-01-15,182.86114074280388
2020-01-16,182.86114360162287
2020-01-17,182.8611438214319
2020-01-18,182.86114379474407
2020-01-19,182.86114337382276
2020-01-20,182.86114361042797
2020-01-21,182.86114360208592
2020-01-22,182.86114358686677
2020-01-23,182.86114356832002
2020-01-24,182.86114358548602
2020-01-25,182.8611435828177
2020-01-26,182.86114358142848
2020-01-27,182.86114358090603
2020-01-28,182.86114358200496
2020-01-29,182.8611435816783
