Date,Forecast_Adj_Close
2019-12-31,273.9935
2020-01-01,274.29535
2020-01-02,274.05368
2020-01-03,273.46982
2020-01-04,272.675
2020-01-05,271.75305
2020-01-06,270.75717
2020-01-07,269.7205
2020-01-08,268.6644
2020-01-09,267.60196
2020-01-10,266.54138
2020-01-11,265.48804
2020-01-12,264.44513
2020-01-13,263.41473
2020-01-14,262.39832
2020-01-15,261.39658
2020-01-16,260.41003
2020-01-17,259.43903
2020-01-18,258.48367
2020-01-19,257.54404
2020-01-20,256.62003
2020-01-21,255.71165
2020-01-22,254.81866
2020-01-23,253.94101
2020-01-24,253.07837
2020-01-25,252.23055
2020-01-26,251.39735
2020-01-27,250.5785
2020-01-28,249.77379
2020-01-29,248.98285
